Product_ID,Product_Name,Sub_Category,Brand,Supplier_ID,Supplier_Name,Lead_Time_Days,Quantity_in_Stock,Reorder_Level,Reorder_Quantity,Unit_Cost,Unit_Price,Discount_Available,Discount_Percentage,GST_Percentage,Final_Price,Manufacture_Date,Expiry_Date,Days_to_Expiry,Is_Expired,Units_Sold_Last_Month,Units_Returned,Last_Sold_Date,Shelf_Life_Days,Age_of_Stock_Days,Profit_Per_Unit,Total_Value_in_Stock,Expiry_Risk_Level,Stock_Turnover_Ratio,Revenue_Last_Month,Stock_Age_Category,Profit_Margin,Needs_Discount,Reorder_Required,Expiry_Risk_Encoded,Stock_Age_Encoded,Cat_Body Care,Cat_Fragrance,Cat_Haircare,Cat_Makeup,Cat_Skincare,Status_In Stock,Status_Low Stock,Status_Out of Stock,Unit_Cost_Scaled,Unit_Price_Scaled,Quantity_in_Stock_Scaled,Days_to_Expiry_Scaled,Units_Sold_Last_Month_Scaled,Age_of_Stock_Days_Scaled,Profit_Margin_Scaled,Stock_Turnover_Ratio_Scaled
PRD1000,WOW Face Cream,Face Cream,WOW,SUP5012,Premium Beauty Distributors,5.0,114.0,37,288,249.87,546.92,True,25.67,12,455.31,2025-10-02,2027-10-02,-3.0,True,27.0,3,2025-08-13,730,15.0,297.05,62348.88,Critical,0.23478260869565218,14766.839999999998,New,54.31324508154757,True,False,0,1,False,False,False,False,True,True,False,False,-1.37263893026017,-1.2114918914274118,-0.9112925197402555,-1.801692719214446,-0.7953957171095382,-1.1375801093540914,0.4008684544904867,-0.14587705748955088
PRD1001,Maybelline Shampoo,Shampoo,Maybelline,SUP2584,Global Cosmetics Supply,14.0,183.0,64,254,565.82,765.07,False,0.0,28,979.29,2025-06-12,2028-06-11,-30.0,True,48.0,1,2025-08-07,1095,127.0,199.25,140007.81,Critical,0.2608695652173913,36723.36,Old,26.043368580652746,True,False,0,2,False,False,True,False,False,True,False,False,-0.807710676889421,-1.0209643312625767,-0.4304389740634276,-1.8809770570496493,-0.0671549222524124,-0.46951265411140075,-0.783178340871504,-0.1375014693806796
PRD1002,Garnier Conditioner,Conditioner,Garnier,SUP4432,Premium Beauty Distributors,5.0,343.0,54,279,1876.48,3898.65,True,23.69,12,3332.07,2025-05-03,2028-05-02,-15.0,True,48.0,4,2025-07-27,1095,167.0,2022.17,1337236.95,Critical,0.13953488372093023,187135.2,Old,51.86846728995934,True,False,0,2,False,False,True,False,False,True,False,False,1.535789448329461,1.715837648940603,0.6845837405495064,-1.8369302026967587,-0.0671549222524124,-0.23091713438186845,0.29847213488114627,-0.17645769314287169
PRD1003,Sugar Cologne,Cologne,Sugar,SUP8517,Metro Beauty Supplies,6.0,73.0,53,135,530.92,1047.85,False,0.0,28,1341.25,2024-02-27,2029-02-25,-14.0,True,74.0,6,2025-08-31,1825,598.0,516.93,76493.05,Critical,1.0,77540.9,Old,49.33244262060409,True,False,0,2,False,True,False,False,False,True,False,False,-0.8701129432057343,-0.7739903066766861,-1.1970170903598198,-1.8339937457398994,0.8344765380468862,2.3399495907038426,0.19225405916320007,0.09980686037067416
PRD1004,Mamaearth Body Lotion,Body Lotion,Mamaearth,SUP2876,Metro Beauty Supplies,6.0,349.0,88,292,570.31,1180.06,True,15.27,12,1119.85,2025-02-27,2027-02-27,-1.0,True,92.0,4,2025-08-13,730,232.0,609.75,411840.94,Critical,0.26285714285714284,108565.51999999999,Old,51.67110146941681,True,False,0,2,True,False,False,False,False,True,False,False,-0.7996824197043139,-0.658520910713391,0.7263970923474915,-1.7958198053007275,1.4586829336387082,0.15680058517862158,0.29020572567628206,-0.13686332933428938
PRD1005,Maybelline Perfume,Perfume,Maybelline,SUP6038,Premium Beauty Distributors,5.0,122.0,27,161,1762.12,4293.12,True,30.62,12,3335.99,2023-08-31,2028-08-29,-18.0,True,98.0,2,2025-09-30,1825,778.0,2531.0,523760.64,Critical,0.7967479674796748,420725.76,Old,58.95479278473464,True,False,0,2,False,True,False,False,False,True,False,False,1.3313102742339429,2.0603593388705708,-0.8555413840096088,-1.8457395735673368,1.6667517321693157,3.413629429486738,0.5952736080929265,0.03454990694789636
PRD1006,Maybelline Hand Cream,Hand Cream,Maybelline,SUP4681,Cosmetic Wholesale Co,10.0,32.0,63,105,1197.2,1886.95,True,5.25,28,2288.49,2024-11-28,2026-11-28,-2.0,True,29.0,1,2025-10-12,730,323.0,689.75,60382.4,Critical,0.8787878787878788,54721.55,Old,36.55369776623652,True,True,0,2,True,False,False,False,False,False,True,False,0.3212160539642693,-0.04113825196977317,-1.4827416609793842,-1.7987562622575868,-0.7260394509326691,0.6996053925633077,-0.34296695225803925,0.060889986329453936
PRD1007,Nivea Body Spray,Body Spray,Nivea,SUP8651,Global Cosmetics Supply,14.0,442.0,26,272,1324.24,2748.35,True,19.09,18,2623.95,2025-06-28,2028-06-27,-8.0,True,24.0,3,2025-08-09,1095,111.0,1424.11,1214770.7,Critical,0.05417607223476298,65960.4,Old,51.81690832681427,True,False,0,2,False,True,False,False,False,True,False,False,0.5483674554778629,0.7111901474159195,1.3745040452162594,-1.816375003998743,-0.8994301163748418,-0.5649508620032138,0.29631265515783817,-0.20386335259092403
PRD1008,Nivea Mascara,Mascara,Nivea,SUP8886,Global Cosmetics Supply,14.0,109.0,71,115,371.04,483.31,False,0.0,18,570.31,2025-08-20,2026-02-16,-10.0,True,54.0,8,2025-07-24,180,58.0,112.27,52680.79,Critical,0.4909090909090909,26098.74,Medium,23.22939728124806,True,False,0,0,False,False,False,True,False,True,False,False,-1.1559832680954807,-1.2670475095896174,-0.9461369795719097,-1.8222479179124618,0.14091387627819496,-0.881089925644844,-0.9010378475869038,-0.06364401060245077
PRD1009,Maybelline Moisturizer,Moisturizer,Maybelline,SUP2113,India Beauty Hub,8.0,345.0,50,203,283.78,672.09,True,25.26,12,562.6,2024-12-04,2026-12-04,-3.0,True,50.0,10,2025-08-03,730,317.0,388.31,231871.05,Critical,0.14450867052023122,33604.5,Old,57.77648826794031,True,False,0,2,False,False,False,False,True,True,False,False,-1.3120068141917982,-1.102171081407552,0.6985215244821681,-1.801692719214446,0.002201343924456712,0.6638160646038778,0.5459218648326851,-0.1748607882092674
